marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
ALFA ROMEO,STELVIO VELOCE 2.0 AWD,1995,AUTOMATICA,NAFTA,9.23,6.4,7.44
ALFA ROMEO,GIULIA CUADRIFOGLIO VERDI 2.9 V6 RWD,2891,AUTOMATICA,NAFTA,12.42,5.72,8.15
ALFA ROMEO,STELVIO CUADRIFOGLIO VERDI 2.9 V6 AWD,2891,AUTOMATICA,NAFTA,12.84,8.39,10.03
JEEP,COMMANDER LIM TD 380. COMMANDER OVR TD 380,1956,AUTOMATICA,GAS OIL,9.83,5.98,7.4
FIAT,500 DOLCE VITA HYBRID,999,MANUAL,NAFTA - ELECTRICIDAD,4.9,4.3,4.6
PEUGEOT,208 LIKE 1.2 MT. 208 LIKE PACK 1.2 MT,1199,MANUAL,NAFTA,7.88,4.82,5.95
TOYOTA,GR86,2387,AUTOMATICA,NAFTA,13.0,6.4,8.8
TOYOTA,GR86,2387,MANUAL,NAFTA,13.3,7.3,9.5
JEEP,COMPASS  TRAILHAWK 2.0AT9,1956,AUTOMATICA,GAS OIL,10.13,6.23,7.66
HONDA,HR-V,1498,CVT,NAFTA,7.84,5.63,6.44
VOLVO,XC40 B4,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,9.1,5.9,7.1
FORD,TERRITORY,1764,AUTOMATICA,NAFTA,11.0,7.0,8.0
FIAT,FASTBACK DRIVE - FASTBACK AUDACE - FASTBACK IMPETUD,999,CVT,NAFTA,8.5,5.53,6.63
FIAT,FASTBACK TURBO 270,1332,AUTOMATICA,NAFTA,9.61,5.42,6.97
CITROEN,C4 CACTUS FEEL PACK PLUS,1587,AUTOMATICA,NAFTA,9.7,6.0,7.4
NISSAN,X-TRAIL,1477 -1497,AUTOMATICA,NAFTA - ELECTRICIDAD,5.73,5.77,5.76
MERCEDES-BENZ,GLC 300 4MATIC (254.647),1999,AUTOMATICA,NAFTA - ELECTRICIDAD,10.0,6.3,7.7
BMW,320i,1998,AUTOMATICA,NAFTA,7.8,6.0,6.7
BMW,M340i xDrive,2998,AUTOMATICA,NAFTA,10.3,6.7,8.0
BMW,X1 sDrive 18i,1499,AUTOMATICA,NAFTA,8.0,5.7,6.5
FORD,F-150,5.038,AUTOMATICA,NAFTA,18.65,9.63,12.92
FORD,RANGER,2993,AUTOMATICA,GAS OIL,10.5,7.8,8.8
FORD,RANGER,1996,AUTOMATICA,GAS OIL,8.6,7.0,7.6
FORD,RANGER,1996,MANUAL,GAS OIL,7.7,6.6,7.0
FIAT,ABARTH 270,1332,AUTOMATICA,NAFTA,9.6,5.77,7.19
CHEVROLET,SILVERADO 3.0,2992,AUTOMATICA,GAS OIL,11.11,6.85,8.4
FORD,F150 FHEV,3497,AUTOMATICA,NAFTA - ELECTRICIDAD,11.0,9.2,9.9
FORD,F150 RAPTOR,3497,AUTOMATICA,NAFTA,18.6,10.3,13.4
FORD,MAVERICK,1999,AUTOMATICA,NAFTA,11.8,4.5,7.2
FORD,F150,5083,AUTOMATICA,NAFTA,17.4,8.9,12.0
FORD,BRONCO,2694,AUTOMATICA,NAFTA,14.3,8.7,10.7
HONDA,ZR-V,1996,CVT,NAFTA,9.22,5.83,7.07
FORD,MAVERICK,2485,eCVT,NAFTA - ELECTRICIDAD,4.66,5.4,5.13
